Name,Height (meters),Height (feet),Latitude,Longitude
Mount Everest,8848.0,29029,27.988056,86.925278
K2,8612.0,28255,35.8825,76.513333
Kangchenjunga,8586.0,28169,27.7025,88.146667
Lhotse,8516.0,27940,27.961667,86.933333
Makalu,8485.0,27838,27.889722,87.088889
Cho Oyu,8188.0,26864,28.094167,86.660833
Dhaulagiri,8167.0,26795,28.698333,83.4875
Manaslu,8163.0,26781,28.549444,84.561944
Nanga Parbat,8126.0,26660,35.2375,74.589167
Annapurna,8091.0,26545,28.596111,83.820278
Gasherbrum I,8080.0,26509,35.724444,76.696389
Broad Peak,8051.0,26414,35.811667,76.565
Gasherbrum II,8035.0,26362,35.758333,76.653333
Shishapangma,8027.0,26335,28.352222,85.779722
Gasherbrum III,7952.0,26089,35.733333,76.633333
Gyachung Kang,7952.0,26089,28.098056,86.742222
Annapurna,7937.0,26040,28.596111,83.820278
Gasherbrum IV,7932.0,26024,35.758333,76.616667
Himalchuli,7893.0,25896,28.434167,84.6375
Distaghil Sar,7885.0,25869,36.325833,75.188333
Ngadi Chuli,7871.0,25823,28.503333,84.5675
Nuptse,7861.0,25791,27.966389,86.89
Kunyang Chhish,7852.0,25761,36.205278,75.207778
Masherbrum,7821.0,25659,35.64,76.305833
Nanda Devi,7816.0,25643,30.375833,79.970833
Chomo Lonzo,7804.0,25604,27.93,87.108056
Batura Sar,7795.0,25574,36.51,74.5225
Kanjut Sar,7790.0,25558,36.205,75.418333
Rakaposhi,7788.0,25551,36.1425,74.489167
Namcha Barwa,7782.0,25531,29.629167,95.055833
Batura II,7762.0,25466,36.518889,74.508056
Kamet,7756.0,25446,30.92,79.591667
Saltoro Kangri,7742.0,25400,35.399333,76.848667
Batura III,7729.0,25358,36.530833,74.501389
Kumbhakarna ,7710.0,25295,27.682778,88.045833
Tirich Mir,7708.0,25289,36.254167,71.843333
Molamenqing,7703.0,25272,28.354722,85.810833
Gurla Mandhata,7694.0,25243,30.435833,81.295833
Saser Kangri,7672.0,25171,34.865,77.7525
Chogolisa,7665.0,25148,35.614167,76.579167
Kongur Tagh,7649.0,25095,38.594167,75.313333
Shispare,7611.0,24970,36.44,74.681667
Silberzacken,7597.0,24925,35.263333,74.607778
Changtse,7583.0,24879,28.025278,86.914167
Trivor,7577.0,24859,36.2875,75.086111
Gangkhar Puensum,7570.0,24836,28.048333,90.454167
Mount Gongga,7556.0,24790,29.595833,101.879167
Annapurna,7555.0,24787,28.596111,83.820278
Kula Kangri,7554.0,24783,28.2275,90.616667
Skyang Kangri,7545.0,24754,35.926389,76.5675
Liankang Kangri,7535.0,24721,28.063889,90.443056
Yukshin Gardan Sar,7530.0,24705,36.25,75.375
Annapurna,7525.0,24688,28.596111,83.820278
Saser Kangri,7518.0,24665,34.865,77.7525
Mamostong Kangri,7516.0,24659,35.140833,77.5775
Muztagh Ata,7509.0,24636,38.278333,75.115833
Ismoil Somoni Peak,7495.0,24590,38.943333,72.016111
Saser Kangri,7495.0,24590,34.865,77.7525
Noshaq,7492.0,24580,36.431667,71.828333
Pumari Chhish,7492.0,24580,36.211111,75.252778
Passu Sar,7476.0,24528,36.487778,74.587778
Jongsong Peak,7462.0,24482,27.883333,88.133333
Malubiting,7458.0,24469,36.038889,74.900833
Gangapurna,7455.0,24459,28.605004,83.963306
Jengish Chokusu,7439.0,24406,42.0375,80.125
K12 ,7428.0,24370,35.295,77.021667
Sia Kangri,7422.0,24350,35.658056,76.776111
Momhil Sar,7414.0,24324,36.319351,75.035108
Istor-o-Nal,7403.0,24288,36.386944,71.889167
Ghent Kangri,7401.0,24281,35.5275,76.810833
Haramosh Peak,7397.0,24268,35.84,74.8975
Kabru,7394.0,24259,27.635,88.118333
Ultar,7388.0,24239,36.399722,74.691944
Rimo I,7385.0,24229,35.355833,77.368056
Sherpi Kangri,7380.0,24213,35.466389,76.781944
Churen Himal,7371.0,24183,28.731995,83.20999
Labuche Kang,7367.0,24170,28.304167,86.350833
Kirat Chuli,7365.0,24163,27.783333,88.2
Skil Brum,7360.0,24147,35.85,76.416667
Abi Gamin,7355.0,24131,30.933056,79.6025
Gimmigela Chuli,7350.0,24114,27.733333,88.15
